symbol,sector,cyclicality_tag,market_cap_approx,roe,roce,debt_equity,interest_coverage,revenue_cagr_3y,revenue_growth_1y,pe_current,ret_3m,ret_6m,ret_12m,ret_24m,above_50sma,above_200sma,rsi14,obv_slope_short,obv_slope_long,turnover_median_60d,ownership_flow_long,ownership_flow_short,pe_for_ranking,roe_pct,roce_pct,quality_score,growth_3y_score,growth_1y_score,growth_divergence_flag,value_score,stage_3y_score,stage_timing_tag,stage_1y_score,sector_macro_3y_score,sector_macro_1y_score,ownership_3y_score,ownership_1y_score,accumulation_3y_score,accumulation_1y_score,composite_3y,coverage_3y,composite_1y,coverage_1y,bs_flag,mcap_tercile,min_turnover,liquidity_flag,final_score_3y,final_score_1y,recommendation_3y,recommendation_1y,coverage_flag_3y,coverage_flag_1y,ttm_growth,ttm_eps_src,latest_qtr,stale_flag,zero_cov_flag,recommendation_overall
AWFIS,Services,NotCyclical,2088.7626262626263,0.13826937244658763,0.24240238802503755,2.7142857142857144,2.956989247311828,39.922568428169434,23.675496688741717,29.389505549949547,-0.16095297275608056,-0.36780987132008824,-0.540615141955836,-0.4920648978039054,False,False,39.699666480047625,-6291346.0,-2676752.0,84130760.33430481,,,29.389505549949547,41.66666666666667,80.0,60.833333333333336,91.0077519379845,77.95698924731182,True,61.65220293724967,2.1810606868850217,Neutral,2.4710589930208786,32.419973368841546,58.78482023968043,,,13.953488372093023,10.666666666666668,54.268969198075524,85.71428571428571,46.76407716945912,85.71428571428571,RED,Small,2500000.0,GREEN,37.0,37.0,Sell,Sell,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Sell
CANHLIFE,Financial Services,NotCyclical,14662.293524491159,0.07578628057686163,0.04806173320551685,0.1557632398753894,-11.833333333333334,11.064214330508037,9.072329838279725,110.4676280947898,0.01985922915547622,0.0841629439948699,,,True,,73.36254946747817,31940901.0,72621840.0,66731159.138031006,,,110.4676280947898,16.80672268907563,31.25,24.028361344537814,44.8062015503876,36.82795698924731,False,26.21446481487512,,Extended,46.22866699999231,47.73288948069241,28.957922769640476,,,74.28180574555402,82.66666666666667,37.92624453739141,71.42857142857143,36.23916688249863,85.71428571428571,N/A-financial-sector,Mid,10000000.0,GREEN,36.92624453739141,35.23916688249863,Sell,Sell,High,High,ttm(Jun 2026),ttm(Jun 2026),Jun 2026,False,False,Sell
JPPOWER,Power,NotCyclical,11609.833176930744,0.04902369956834606,0.10408017817061563,0.26633678919258563,3.6453333333333333,-1.3072631595951623,8.809073724007565,18.074467841615068,-0.10953879250236043,0.020420430052712657,-0.28099871457773773,-0.08998394741888327,False,False,39.04010773933514,-424564078.0,2831432944.0,1298104177.8775492,0.325,-0.44499999999999984,18.074467841615068,14.285714285714285,47.61904761904761,30.95238095238095,9.30232558139535,36.155913978494624,False,54.25901201602136,11.79611839345175,Neutral,17.68329081336807,35.61571238348868,2.060452729693742,59.49579831932773,13.529411764705882,99.04240766073872,1.0666666666666667,36.713183009230704,100.0,26.4999517814956,100.0,GREEN,Small,2500000.0,GREEN,36.713183009230704,26.4999517814956,Sell,Sell,High,High,ttm(Jun 2026),ttm(Jun 2026),Jun 2026,False,False,Sell
MMTC,Services,NotCyclical,9629.999542236328,0.3644727281018959,-0.08118690506977329,0.0,-184.0,-93.43051215481415,0.0,24.787643609359918,-0.03704816691975921,0.010228130904564647,-0.055326694921771225,-0.22984649138462343,False,True,40.83479457117036,265488491.0,825405124.0,132967342.59580994,-0.015000000000000006,-0.020000000000000018,24.787643609359918,91.66666666666666,6.0,48.83333333333333,1.0852713178294573,12.231182795698924,True,47.28304405874499,38.00351696810771,Neutral,17.737033363395785,32.419973368841546,58.78482023968043,28.067226890756302,31.428571428571427,97.81121751025992,97.6,37.430506577839694,100.0,36.98536690018993,100.0,RED,Small,2500000.0,GREEN,36.430506577839694,35.98536690018993,Sell,Sell,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Sell
IFBIND,Consumer Durables,NotCyclical,5528.738555779,0.09456938673923143,0.2312418027326753,0.15678391959798996,12.84,10.232338894120563,10.349567949725058,38.39401774846528,0.23888893335894812,-0.042851044494853774,-0.09119454539493677,-0.18261020986676135,True,False,60.25344846993781,5392300.0,4266295.0,75144601.87475586,-0.9900000000000002,0.135,38.39401774846528,31.70731707317073,65.85365853658537,48.78048780487805,41.3953488372093,41.53225806451613,False,48.060140793785656,21.001559391800253,Neutral,65.63915379799268,25.229560585885487,54.25752330226364,3.865546218487395,46.38655462184874,31.463748290013683,58.53333333333334,36.4231452908821,100.0,52.13664563474733,100.0,GREEN,Small,2500000.0,GREEN,36.4231452908821,52.13664563474733,Sell,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Sell
RTNINDIA,Consumer Services,NotCyclical,4443.2665189107265,-0.08052523156378086,0.10814954919648903,1.43359375,-1.1216216216216217,22.230052133602097,5.426758191944048,-26.76666577657064,-0.06627914223430798,-0.16679637957020288,-0.5002333808998269,-0.5992014078298875,False,False,39.91037086967156,20867344.0,-10754981.0,64352081.761089325,0.06833333333333351,-0.04999999999999971,,15.217391304347828,32.608695652173914,23.91304347826087,76.74418604651163,25.268817204301076,True,67.44267719277877,1.2467971276077499,Neutral,11.496885618346855,7.985885486018644,14.776830892143808,37.3109243697479,29.411764705882355,7.934336525307797,77.60000000000001,39.3720103180132,100.0,30.385369975314553,100.0,RED,Small,2500000.0,GREEN,36.3720103180132,27.385369975314553,Sell,Sell,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Sell
JKLAKSHMI,Construction Materials,Cyclical,7173.681831877072,0.1291803104150579,0.18475824781098749,0.6654657745753989,4.739336492890995,1.581590761174989,9.203939932181493,17.031019202363368,-0.13020517408326404,-0.24249391071953152,-0.4110435568485269,-0.32161296705482934,False,False,44.68108606896891,-1016833.0,-4225535.0,58344135.92965698,-2.9605947323337506e-16,-0.7350000000000003,17.031019202363368,93.75,81.25,87.5,14.883720930232558,37.5,False,56.49265687583444,5.398925069300556,Neutral,3.7291136153253315,11.058055925432758,11.85699067909454,29.57983193277311,9.747899159663866,11.901504787961697,20.666666666666668,36.10283180623026,100.0,32.83887584884819,100.0,GREEN,Small,2500000.0,GREEN,36.10283180623026,32.83887584884819,Sell,Sell,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Sell
TATAINVEST,Financial Services,NotCyclical,33717.29226396131,0.012652578276534075,0.011276085225216686,3.422079255355554e-05,361.0,13.311787953225895,30.592105263157897,77.68961351143159,-0.06158065961654979,0.0001999764172697649,0.013146282660912778,0.032924038450248494,False,False,46.424815809355366,4398415.0,74732877.0,201929689.65447998,-0.033333333333333326,0.05500000000000005,77.68961351143159,5.88235294117647,16.666666666666664,11.274509803921568,52.093023255813954,84.94623655913979,True,35.47771011755511,25.378167098711756,Neutral,14.254488116034162,47.73288948069241,28.957922769640476,26.218487394957986,39.2436974789916,74.82900136798905,54.666666666666664,35.8731326014469,100.0,35.44564596520005,100.0,N/A-financial-sector,Mid,10000000.0,GREEN,35.8731326014469,35.44564596520005,Sell,Sell,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Sell
PINELABS,Financial Services,NotCyclical,17937.020126654177,-0.048522467803894666,0.025106167150020894,0.07479647218453189,4.261904761904762,19.26625455799771,19.217238346525956,137.6637146536228,-0.1981443424814755,-0.2770367668244692,,,True,,52.54061809333835,62157705.0,,1869202042.247223,,,137.6637146536228,3.361344537815126,20.833333333333336,12.09733893557423,70.3875968992248,68.01075268817203,False,18.019310299912078,,Neutral,1.2214202843300765,47.73288948069241,28.957922769640476,,,,89.2,35.84318775035836,57.14285714285714,27.554149673556932,85.71428571428571,N/A-financial-sector,Mid,10000000.0,GREEN,35.84318775035836,27.554149673556932,Sell,Sell,Med,High,annual,ttm(Mar 2026),Mar 2026,False,False,Sell
ORKLAINDIA,Fast Moving Consumer Goods,NotCyclical,8103.333333333332,0.1100034037714765,0.13965128212674124,0.02290909090909091,59.714285714285715,4.925314622207999,4.759916492693117,28.333333333333336,-0.067555818195288,-0.03385397300478332,,,False,,39.2734099973989,-670091.0,,22595500.717773438,,,28.333333333333336,23.25581395348837,20.454545454545457,21.855179704016912,25.116279069767444,23.118279569892472,False,55.152647975077876,,Neutral,14.368955296556406,58.78482023968043,8.718242343541945,,,,22.26666666666667,35.79219886716387,57.14285714285714,24.473258534442653,85.71428571428571,GREEN,Small,2500000.0,GREEN,35.79219886716387,24.473258534442653,Sell,Sell,Med,High,annual,ttm(Mar 2026),Mar 2026,False,False,Sell
HDFCLIFE,Financial Services,NotCyclical,122488.84348987727,0.10810758725909751,0.04624853723741833,0.17459154929577464,86.78571428571429,12.30055944308539,4.3006103508260285,62.100653784019414,-0.06580895146234966,-0.2389806733639005,-0.24950860652787454,-0.08004912573308975,False,False,47.100891667954016,-49873191.0,-40670496.0,1801506591.8563843,0.5466666666666672,0.565,62.100653784019414,31.932773109243694,29.166666666666668,30.54971988795518,48.52713178294574,21.774193548387096,False,32.59260935484601,11.67908296274454,Neutral,7.529212945233984,47.73288948069241,28.957922769640476,68.40336134453781,67.89915966386555,4.240766073871409,2.533333333333333,35.64529723643236,100.0,25.4143090360367,100.0,N/A-financial-sector,Large,50000000.0,GREEN,35.64529723643236,25.4143090360367,Sell,Sell,High,High,ttm(Jun 2026),ttm(Jun 2026),Jun 2026,False,False,Sell
MAHSCOOTER,Financial Services,NotCyclical,14838.135717965702,0.00894871799993087,0.008622386929124712,0.0,,12.986928118619968,70.59946544482625,47.71104732464856,-0.006700129405751043,0.005877142937237956,-0.08673680740628542,0.4297640637721365,True,False,56.21840289672005,68294.0,37298.0,36810768.0,0.3183333333333334,0.30000000000000004,47.71104732464856,4.201680672268908,12.5,8.350840336134453,50.542635658914726,95.96774193548387,True,48.69875280862288,24.851227811569014,Neutral,37.881740977545626,47.73288948069241,28.957922769640476,59.15966386554622,56.30252100840336,18.467852257181942,27.866666666666667,35.63724166883291,100.0,44.44836060513385,100.0,N/A-financial-sector,Mid,10000000.0,GREEN,35.63724166883291,44.44836060513385,Sell,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Sell
