company_name_cas,value_inr,norm,norm2,Symbol,Company Name,ISIN Code,symbol,sector,cyclicality_tag,market_cap_approx,roe,roce,debt_equity,interest_coverage,revenue_cagr_3y,revenue_growth_1y,pe_current,ret_3m,ret_6m,ret_12m,ret_24m,above_50sma,above_200sma,rsi14,obv_slope_short,obv_slope_long,turnover_median_60d,ownership_flow_long,ownership_flow_short,company_name,isin,book_value_per_share,avg_fcf,pb_current,fcf_yield,sector_norm,mcap_tercile,sector_tier_group,roe_pct,roce_pct,quality_score,growth_3y_score,growth_1y_score,pe_abs_pctile,pe_sector_tier_pctile,pb_sector_tier_pctile,fcf_yield_sector_tier_pctile,value_score,ret_12m_pct,ret_24m_pct,rs_12m_pct,stage_3y_score,ret_3m_pct,ret_6m_pct,rs_3m_pct,stage_1y_score,stage_timing_tag,regime_fit_adj,sector_mean_ret_12m,sector_mean_ret_3m,sector_macro_3y_score,sector_macro_1y_score,ownership_flow_3y_score,ownership_flow_1y_score,accumulation_3y_score,accumulation_1y_score,composite_3y,composite_1y,bs_flag,min_turnover,liquidity_flag,redflag_count,penalty,boost,final_3y,final_1y,final_3y_adj,final_1y_adj,recommendation_3y,recommendation_1y,recommendation
SUN PHARMACEUTICAL INDUSTRIES LIMITED,632905.0,SUNPHARMACEUTICALINDUSTRIES,SUNPHARMACEUTICALINDUSTRIES,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,INE044A01036,SUNPHARMA,Healthcare,NotCyclical,469140.8992269765,0.1481304716966162,0.1923719365448048,0.0553667584061266,48.67551622418879,10.03121027172562,11.190992430294044,40.76295935589334,0.1717672869063127,0.1383765967517056,0.1769805216261957,0.28025397005521,True,True,70.4172408951921,-5624294.0,44176855.0,4157289275.576538,0.3133333333333334,0.1400000000000005,Sun Pharmaceutical Industries Ltd.,INE044A01036,347.3793379094622,5227.5,5.61374774712189,1.114270789141082,healthcare,Large,healthcare_Large,45.94594594594595,51.35135135135135,48.648648648648646,38.07947019867549,40.0,42.77108433734939,66.66666666666666,66.66666666666666,66.66666666666666,60.69277108433734,69.93865030674846,69.81132075471697,57.14285714285714,65.6309427347742,76.20481927710844,67.46987951807229,40.54054054054054,59.36335568905456,Extended,-2.6,0.1867000399901438,0.2174472393134507,66.67710843373494,91.97831325301205,58.55513307984791,47.14828897338403,63.608562691131496,13.855421686746988,54.070361880416655,54.38990708525915,GREEN,50000000.0,GREEN,0,0,0,54.070361880416655,54.38990708525915,54.070361880416655,54.38990708525915,Hold,Hold,Hold
BHARTI AIRTEL LIMITED,611323.2,BHARTIAIRTEL,BHARTIAIRTEL,BHARTIARTL,Bharti Airtel Ltd.,INE397D01024,BHARTIARTL,telecommunication,NotCyclical,1483703.3337483143,0.2048493572463491,0.2736546675247234,1.310988413828267,5.405427974947808,14.882291893724496,21.96028557389369,43.86669821566138,0.0410054028727024,-0.0518525700922618,0.0083074607158493,0.3578130422753087,True,False,56.99425548594044,-23049141.0,-76927978.0,11893401387.267578,0.4500000000000004,0.4050000000000011,Bharti Airtel Ltd.,INE397D01024,193.06942524317773,22516.58333333333,9.953932614693136,1.5175933639273536,telecommunication,Large,telecommunication_Large,75.52870090634441,81.31147540983606,78.42008815809024,52.64900662251656,73.11475409836066,37.65060240963856,37.65060240963856,21.148036253776432,70.09063444108762,40.83809558475595,53.06748466257669,72.64150943396226,53.06748466257669,29.79607979318594,50.30120481927711,29.81927710843373,50.30120481927711,42.77447003373527,Neutral,-2.6,-0.1540627376594488,0.0951234195042335,0.4120481927710844,57.94216867469879,67.68060836501901,63.11787072243346,4.281345565749235,7.83132530120482,46.71867445128197,56.24733036613391,GREEN,50000000.0,GREEN,0,0,0,46.71867445128197,56.24733036613391,46.71867445128197,56.24733036613391,Hold,Hold,Hold
ICICI BANK LIMITED,559905.0,ICICIBANK,ICICIBANK,ICICIBANK,ICICI Bank Ltd.,INE090A01021,ICICIBANK,Financial Services,NotCyclical,1085257.3289009875,0.1699566988505603,,0.6112026816287343,,,,18.73200305338628,0.0457159727416496,-0.0130828453918754,0.0050937731285927,0.1671155317290455,True,True,65.6099927201297,180261054.0,-53855407.0,18525704097.789307,0.1883333333333337,0.1950000000000038,ICICI Bank Ltd.,INE090A01021,470.9372131317315,60557.083333333336,3.0114416776301205,5.579974603319007,financial services,Large,financial services_Large,68.62745098039215,,68.62745098039215,,,76.20481927710844,60.86956521739131,56.52173913043478,95.65217391304348,70.79033525405973,52.760736196319016,61.63522012578616,48.0,54.131985440701726,51.20481927710844,39.1566265060241,54.90196078431373,46.86013625046911,Neutral,-2.6,0.0626643811533381,0.0569061228228353,48.00240963855421,48.00240963855421,48.28897338403042,52.09125475285171,5.81039755351682,96.98795180722892,55.91301121283603,60.29324840897866,N/A-financial-sector,50000000.0,GREEN,0,0,3,55.91301121283603,60.29324840897866,58.91301121283603,63.29324840897866,Hold,Hold,Hold
CIPLA LIMITED,458360.0,CIPLA,CIPLA,CIPLA,Cipla Ltd.,INE059A01026,CIPLA,Healthcare,NotCyclical,114967.28446480632,0.1394128830473945,0.2078958408718048,0.0178322490706319,108.94444444444444,7.369290376032311,2.232466966748947,29.768846314035816,0.1735753374947675,-0.0037210522670956,-0.0283428059933025,-0.0110018517433125,True,True,52.08693517175222,1778219.0,-20774780.0,1678662097.2495117,0.1666666666666666,0.1949999999999985,Cipla Ltd.,INE059A01026,428.12652511652,1788.4166666666667,3.3389662077371725,1.5555874655925577,healthcare,Large,healthcare_Large,32.432432432432435,72.97297297297297,52.7027027027027,29.80132450331126,14.098360655737704,56.024096385542165,77.77777777777779,88.88888888888889,100.0,79.00602409638554,47.54601226993865,44.65408805031446,34.285714285714285,42.16193820198913,76.80722891566265,42.16867469879519,43.24324324324324,53.86435543539181,Neutral,-2.6,0.1867000399901438,0.2174472393134507,66.67710843373494,91.97831325301205,46.38783269961977,51.33079847908745,9.48012232415902,41.86746987951807,48.47106503985294,53.89843586724233,GREEN,50000000.0,GREEN,0,0,0,48.47106503985294,53.89843586724233,48.47106503985294,53.89843586724233,Hold,Hold,Hold
RELIANCE INDUSTRIES LIMITED,451773.0,RELIANCEINDUSTRIES,RELIANCEINDUSTRIES,RELIANCE,Reliance Industries Ltd.,INE002A01018,RELIANCE,Oil Gas & Consumable Fuels,Cyclical,2079990.518717639,0.105919051358915,0.1370054292604698,0.4457396325343185,6.6170873212372046,6.403933073685808,9.654971853513628,21.72223112055516,-0.0374677894724632,-0.1070778084803568,-0.1185566988921449,0.3552217534731414,False,False,43.12220304433736,-126797362.0,-344019896.0,20214891013.82873,0.0216666666666667,0.0200000000000022,Reliance Industries Ltd.,INE002A01018,563.5435668483823,-3671.4166666666665,2.300798113688306,-0.1765112212593246,oil gas & consumable fuels,Large,oil gas & consumable fuels_Large,22.22222222222222,22.22222222222222,22.22222222222222,27.1523178807947,35.08196721311476,70.78313253012048,14.285714285714285,14.285714285714285,14.285714285714285,28.41006884681584,36.50306748466258,72.32704402515722,22.22222222222222,21.84205562200701,28.614457831325304,21.0843373493976,22.22222222222222,12.67461592939045,Neutral,4.6,-0.0199558700969657,-0.0106041295316716,40.744578313253015,14.539759036144575,29.65779467680608,35.741444866920155,1.2232415902140672,1.2048192771084338,25.945880163000307,21.70832542388806,GREEN,50000000.0,GREEN,0,0,0,25.945880163000307,21.70832542388806,25.945880163000307,21.70832542388806,Sell,Sell,Sell
HITACHI ENERGY INDIA LIMITED,436150.0,HITACHIENERGYINDIA,HITACHIENERGYINDIA,POWERINDIA,Hitachi Energy India Ltd.,INE07Y701011,POWERINDIA,Capital Goods,Cyclical,149539.593015386,0.1908809891808346,0.2379323451159255,0.0166151468315301,96.3076923076923,22.165025099832825,27.611589663273307,151.35586337589675,0.1222816995650719,0.9805750723268584,0.8137690677639442,16.54787083775435,False,True,48.07692307692308,1402618.0,6551995.0,4539124012.5,1.0216666666666665,-0.1749999999999998,Hitachi Energy India Ltd.,INE07Y701011,1161.08995951417,255.25,28.89095691951044,0.1706905809043746,capital goods,Large,capital goods_Large,75.51020408163265,73.46938775510205,74.48979591836735,73.84105960264901,80.32786885245902,4.819277108433735,6.25,9.375,43.75,14.017319277108436,94.47852760736195,99.05660377358492,87.75510204081633,93.76341114058772,65.96385542168674,99.09638554216868,65.3061224489796,38.58670159444687,Neutral,4.6,0.2847879821526152,0.1204709898575698,86.8289156626506,79.29879518072288,81.36882129277566,22.0532319391635,38.53211009174312,39.45783132530121,63.456611295306594,50.02352946354735,GREEN,50000000.0,GREEN,0,0,0,63.456611295306594,50.02352946354735,63.456611295306594,50.02352946354735,Hold,Hold,Hold
APL APOLLO TUBES LIMITED,373380.0,APLAPOLLOTUBES,APLAPOLLOTUBES,APLAPOLLO,APL Apollo Tubes Ltd.,INE702C01027,APLAPOLLO,Capital Goods,Cyclical,49766.38587583661,0.227109684727204,0.3109577221742882,0.0940154804606381,14.416,12.599934417303585,11.546640889318516,41.36856681283176,-0.149102859154763,-0.0734997440227062,0.0627806741042167,1.3137970304966755,False,False,49.76167784383616,-9336647.0,11359257.0,1014467096.7087402,1.156666666666667,2.28,APL Apollo Tubes Ltd.,INE702C01027,190.7888694929344,293.0,9.395202166478498,0.5887508100970261,capital goods,Large,capital goods_Large,85.71428571428571,95.91836734693877,90.81632653061224,47.01986754966888,43.278688524590166,41.566265060240966,81.25,68.75,87.5,70.07906626506023,60.73619631901841,90.88050314465409,46.93877551020408,33.09257916231277,6.626506024096386,26.506024096385545,4.081632653061225,6.226192677873577,Neutral,4.6,0.2847879821526152,0.1204709898575698,86.8289156626506,79.29879518072288,84.03041825095056,87.45247148288973,44.342507645259936,11.144578313253012,66.76441479656822,53.82384480398894,GREEN,50000000.0,GREEN,0,0,3,66.76441479656822,53.82384480398894,69.76441479656822,56.82384480398894,Hold,Hold,Hold
PIDILITE INDUSTRIES LIMITED,357682.0,PIDILITEINDUSTRIES,PIDILITEINDUSTRIES,PIDILITIND,Pidilite Industries Ltd.,INE318A01026,PIDILITIND,Chemicals,Cyclical,158689.13110528703,0.2116490219017681,0.2903048869185156,0.0258766172885805,80.60975609756098,8.373111102669807,11.720367762776451,66.56423284617745,0.1216109137619112,0.0404963307646908,0.0465895517845953,0.028512751834318,True,True,48.85430033156332,11852607.0,15009856.0,1016595286.1195068,0.0966666666666665,0.1950000000000002,Pidilite Industries Ltd.,INE318A01026,104.82566275167784,1022.3333333333334,14.878035918365557,0.6442365184134986,chemicals,Large,chemicals_Large,73.68421052631578,89.47368421052632,81.57894736842104,32.78145695364238,44.59016393442623,20.48192771084337,21.052631578947366,10.526315789473683,52.63157894736842,25.12048192771084,58.58895705521472,48.42767295597484,78.94736842105263,61.987999477414064,65.36144578313254,51.20481927710844,47.368421052631575,54.75946533780119,Neutral,4.6,-0.032037039590392,0.1646485349935498,36.52771084337349,90.14216867469878,39.163498098859314,51.71102661596958,49.54128440366973,68.07228915662651,45.90063101934359,57.542082404796666,GREEN,50000000.0,GREEN,0,0,0,45.90063101934359,57.542082404796666,45.90063101934359,57.542082404796666,Hold,Hold,Hold
TITAN COMPANY LIMITED,320308.4,TITANCOMPANY,TITANCOMPANY,TITAN,Titan Company Ltd.,INE280A01028,TITAN,Consumer Durables,Defensive-Stable,410687.4765344712,0.3230592880341336,0.1804032466971764,1.9500095523148444,7.082203389830508,29.237559737181407,44.8723038242689,80.95554435924922,0.0360020646470744,0.0993671376696054,0.3631093606126774,1.7800527845791263,True,True,81.71046365335816,4132195.0,13391128.0,3453162499.1416016,0.0516666666666667,0.0899999999999989,Titan Company Ltd.,INE280A01028,176.8715592351666,896.1666666666666,26.153440523114767,0.2182113450911246,consumer durables,Large,consumer durables_Large,84.61538461538461,38.46153846153847,61.53846153846154,82.78145695364239,90.81967213114754,16.867469879518072,7.6923076923076925,7.6923076923076925,30.76923076923077,14.601482854494904,81.90184049079755,94.0251572327044,92.3076923076923,89.41156334373142,48.493975903614455,61.14457831325302,61.53846153846154,53.88795888644052,Extended,-2.6,-0.0545950121457875,0.0328981059257301,24.50843373493976,28.72530120481928,33.840304182509506,42.96577946768061,46.78899082568808,51.80722891566265,53.49454383367655,50.48632091415526,AMBER,50000000.0,GREEN,0,0,0,45.470362258625066,42.91337277703197,45.470362258625066,42.91337277703197,Hold,Hold,Hold
NATIONAL ALUMINIUM COMPANY LIMITED,319440.0,NATIONALALUMINIUMCOMPANY,,NATIONALUM,National Aluminium Co. Ltd.,,NATIONALUM,Metals & Mining,Cyclical,65106.04311673512,0.2683423598574272,0.3659696256289526,0.0027773920288848,79.28,7.765539794311893,6.284250655229928,11.230988979943955,-0.1577831194462345,-0.0344628701977807,0.955239123172248,4.126697032807195,False,True,62.25276142254887,-78219238.0,770041105.0,3336881094.184952,0.7266666666666662,0.9499999999999992,National Aluminium Co. Ltd.,INE139A01034,117.6109504916336,1302.4166666666667,3.013750086410921,2.0004543423587178,metals & mining,Large,metals & mining_Large,91.66666666666666,91.66666666666666,91.66666666666666,31.125827814569533,25.245901639344265,88.55421686746988,100.0,50.0,37.5,74.63855421686748,96.93251533742333,99.05660377358492,100.0,98.6630397036694,4.819277108433735,33.13253012048193,16.666666666666664,7.877802840342169,Neutral,4.6,0.3854891032262384,-0.0501828871424458,100.0,7.160240963855421,75.66539923954373,75.2851711026616,97.55351681957188,3.313253012048193,78.2304774337297,39.77387243876067,GREEN,50000000.0,GREEN,1,-1,0,78.2304774337297,39.77387243876067,77.2304774337297,38.77387243876067,Hold,Sell,Sell
